Antecedent,Consequent,JointCount,AntecedentCount,ConsequentCount,Transactions,Support,Confidence,Lift
Away form=strong & Recent scoring=away higher,Outcome=Away win,494,1038,2142,7312,0.0675601750547046,0.47591522157996147,1.6245994865512037
Away form=poor & Home form=strong,Outcome=Home win,371,555,3349,7312,0.05073851203501094,0.6684684684684684,1.4594928161963097
Home form=strong & Recent scoring=home higher,Outcome=Home win,613,927,3349,7312,0.08383479212253829,0.6612729234088457,1.4437825070067123
Away form=moderate & Recent scoring=home higher,Outcome=Home win,389,656,3349,7312,0.053200218818380746,0.5929878048780488,1.2946929917194065
Away form=poor & Recent scoring=home higher,Outcome=Home win,656,1116,3349,7312,0.08971553610503283,0.5878136200716846,1.2833959958089451
Recent scoring=home higher,Outcome=Home win,1128,1929,3349,7312,0.15426695842450766,0.5847589424572317,1.2767266011487841
Away form=moderate & Home form=strong,Outcome=Home win,389,669,3349,7312,0.053200218818380746,0.5814648729446936,1.2695345329864436
Home form=strong,Outcome=Home win,956,1656,3349,7312,0.13074398249452954,0.5772946859903382,1.2604296040493737
Away form=poor & Home form=moderate,Outcome=Home win,555,1023,3349,7312,0.07590262582056893,0.5425219941348973,1.1845090537815375
Home form=moderate & Recent scoring=home higher,Outcome=Home win,422,783,3349,7312,0.057713347921225386,0.5389527458492975,1.1767161772618882
Away form=poor,Outcome=Home win,1380,2568,3349,7312,0.1887308533916849,0.5373831775700935,1.1732892787078302
Away form=poor & Recent scoring=similar,Outcome=Home win,627,1214,3349,7312,0.08574945295404814,0.5164744645799012,1.127638484624735
