Team,Matches,PointsPerMatch,GoalsForPerMatch
Arsenal,760,1.9263157894736842,1.8907894736842106
Aston Villa,646,1.21671826625387,1.1888544891640866
Birmingham,266,1.131578947368421,1.0263157894736843
Blackburn,418,1.2679425837320575,1.2392344497607655
Blackpool,38,1.0263157894736843,1.4473684210526316
Bolton,418,1.2105263157894737,1.1842105263157894
Bournemouth,190,1.1105263157894736,1.268421052631579
Brighton,152,1.0394736842105263,0.9736842105263158
Burnley,266,1.0902255639097744,1.0
Cardiff,76,0.8421052631578947,0.868421052631579
Charlton,228,1.1973684210526316,1.1008771929824561
Chelsea,760,2.013157894736842,1.8342105263157895
Crystal Palace,342,1.1374269005847952,1.105263157894737
Derby,76,0.5394736842105263,0.6973684210526315
Everton,760,1.4605263157894737,1.3342105263157895
Fulham,570,1.1228070175438596,1.1070175438596492
Huddersfield,76,0.6973684210526315,0.6578947368421053
Hull,190,0.9,0.9526315789473684
Ipswich,38,0.9473684210526315,1.0789473684210527
Leeds,152,1.3486842105263157,1.4013157894736843
Leicester,342,1.327485380116959,1.409356725146199
Liverpool,760,1.881578947368421,1.7776315789473685
Man City,722,1.8185595567867037,1.853185595567867
Man United,760,2.0526315789473686,1.8763157894736842
Middlesbrough,342,1.1403508771929824,1.0818713450292399
Newcastle,684,1.2763157894736843,1.25
Norwich,228,0.9298245614035088,1.0
Portsmouth,266,1.1353383458646618,1.0977443609022557
QPR,114,0.8070175438596491,1.0087719298245614
Reading,114,1.043859649122807,1.1929824561403508
Sheffield United,114,1.0087719298245614,0.7982456140350878
Southampton,494,1.2388663967611335,1.2449392712550607
Stoke,380,1.2026315789473685,1.0473684210526315
Sunderland,494,0.937246963562753,0.9595141700404858
Swansea,266,1.1729323308270676,1.150375939849624
Tottenham,760,1.644736842105263,1.5881578947368422
Watford,228,1.043859649122807,1.0570175438596492
West Brom,494,0.9919028340080972,1.0323886639676114
West Ham,646,1.2337461300309598,1.243034055727554
Wigan,304,1.0888157894736843,1.0394736842105263
Wolves,266,1.1165413533834587,1.0902255639097744
